"Soort misdrijf";"Perioden";"Regio's";"Geregisteerde misdrijven (aantal)"
"1.4.4 Bedreiging";"2015";"Noord-Holland (PV)";6275
"1.4.4 Bedreiging";"2016";"Noord-Holland (PV)";5929
"1.4.4 Bedreiging";"2017";"Noord-Holland (PV)";5213
"1.4.4 Bedreiging";"2018";"Noord-Holland (PV)";5046
"1.4.4 Bedreiging";"2013";"Zuid-Holland (PV)";9140
"1.4.4 Bedreiging";"2014";"Zuid-Holland (PV)";8469
"1.4.4 Bedreiging";"2015";"Zuid-Holland (PV)";7717
"1.4.4 Bedreiging";"2016";"Zuid-Holland (PV)";7480
"1.4.4 Bedreiging";"2017";"Zuid-Holland (PV)";7040
"1.4.4 Bedreiging";"2018";"Zuid-Holland (PV)";7097
"1.4.4 Bedreiging";"2013";"Zeeland (PV)";805
"1.4.4 Bedreiging";"2014";"Zeeland (PV)";718
"1.4.4 Bedreiging";"2015";"Zeeland (PV)";670
"1.4.4 Bedreiging";"2016";"Zeeland (PV)";636
"1.4.4 Bedreiging";"2017";"Zeeland (PV)";526
"1.4.4 Bedreiging";"2018";"Zeeland (PV)";586
"1.4.4 Bedreiging";"2013";"Noord-Brabant (PV)";4778
"1.4.4 Bedreiging";"2014";"Noord-Brabant (PV)";4850
"1.4.4 Bedreiging";"2015";"Noord-Brabant (PV)";4845
"1.4.4 Bedreiging";"2016";"Noord-Brabant (PV)";4665
"1.4.4 Bedreiging";"2017";"Noord-Brabant (PV)";4185
"1.4.4 Bedreiging";"2018";"Noord-Brabant (PV)";3894
"1.4.4 Bedreiging";"2013";"Limburg (PV)";2670
"1.4.4 Bedreiging";"2014";"Limburg (PV)";2470
"1.4.4 Bedreiging";"2015";"Limburg (PV)";2180
"1.4.4 Bedreiging";"2016";"Limburg (PV)";1990
"1.4.4 Bedreiging";"2017";"Limburg (PV)";1821
"1.4.4 Bedreiging";"2018";"Limburg (PV)";1640
"1.4.6 Straatroof";"2013";"Nederland";7004
"1.4.6 Straatroof";"2014";"Nederland";5426
"1.4.6 Straatroof";"2015";"Nederland";4736
"1.4.6 Straatroof";"2016";"Nederland";4178
"1.4.6 Straatroof";"2017";"Nederland";3590
"1.4.6 Straatroof";"2018";"Nederland";3520
"1.4.6 Straatroof";"2013";"Groningen (PV)";95
"1.4.6 Straatroof";"2014";"Groningen (PV)";78
"1.4.6 Straatroof";"2015";"Groningen (PV)";71
"1.4.6 Straatroof";"2016";"Groningen (PV)";57
"1.4.6 Straatroof";"2017";"Groningen (PV)";58
"1.4.6 Straatroof";"2018";"Groningen (PV)";39
"1.4.6 Straatroof";"2013";"Friesland (PV)";56
"1.4.6 Straatroof";"2014";"Friesland (PV)";48
"1.4.6 Straatroof";"2015";"Friesland (PV)";54
"1.4.6 Straatroof";"2016";"Friesland (PV)";28
"1.4.6 Straatroof";"2017";"Friesland (PV)";18
"1.4.6 Straatroof";"2018";"Friesland (PV)";26
"1.4.6 Straatroof";"2013";"Drenthe (PV)";25
"1.4.6 Straatroof";"2014";"Drenthe (PV)";21
"1.4.6 Straatroof";"2015";"Drenthe (PV)";18
"1.4.6 Straatroof";"2016";"Drenthe (PV)";26
"1.4.6 Straatroof";"2017";"Drenthe (PV)";24
"1.4.6 Straatroof";"2018";"Drenthe (PV)";23
"1.4.6 Straatroof";"2013";"Overijssel (PV)";116
"1.4.6 Straatroof";"2014";"Overijssel (PV)";105
"1.4.6 Straatroof";"2015";"Overijssel (PV)";99
"1.4.6 Straatroof";"2016";"Overijssel (PV)";71
"1.4.6 Straatroof";"2017";"Overijssel (PV)";67
"1.4.6 Straatroof";"2018";"Overijssel (PV)";59
"1.4.6 Straatroof";"2013";"Flevoland (PV)";250
"1.4.6 Straatroof";"2014";"Flevoland (PV)";200
"1.4.6 Straatroof";"2015";"Flevoland (PV)";143
"1.4.6 Straatroof";"2016";"Flevoland (PV)";119
"1.4.6 Straatroof";"2017";"Flevoland (PV)";87
"1.4.6 Straatroof";"2018";"Flevoland (PV)";97
"1.4.6 Straatroof";"2013";"Gelderland (PV)";345
"1.4.6 Straatroof";"2014";"Gelderland (PV)";196
"1.4.6 Straatroof";"2015";"Gelderland (PV)";198
"1.4.6 Straatroof";"2016";"Gelderland (PV)";214
"1.4.6 Straatroof";"2017";"Gelderland (PV)";142
"1.4.6 Straatroof";"2018";"Gelderland (PV)";135
"1.4.6 Straatroof";"2013";"Utrecht (PV)";353
"1.4.6 Straatroof";"2014";"Utrecht (PV)";284
"1.4.6 Straatroof";"2015";"Utrecht (PV)";257
"1.4.6 Straatroof";"2016";"Utrecht (PV)";208
"1.4.6 Straatroof";"2017";"Utrecht (PV)";147
"1.4.6 Straatroof";"2018";"Utrecht (PV)";151
"1.4.6 Straatroof";"2013";"Noord-Holland (PV)";2638
"1.4.6 Straatroof";"2014";"Noord-Holland (PV)";2074
"1.4.6 Straatroof";"2015";"Noord-Holland (PV)";1748
"1.4.6 Straatroof";"2016";"Noord-Holland (PV)";1626
"1.4.6 Straatroof";"2017";"Noord-Holland (PV)";1403
"1.4.6 Straatroof";"2018";"Noord-Holland (PV)";1479
"1.4.6 Straatroof";"2013";"Zuid-Holland (PV)";2060
"1.4.6 Straatroof";"2014";"Zuid-Holland (PV)";1548
"1.4.6 Straatroof";"2015";"Zuid-Holland (PV)";1471
"1.4.6 Straatroof";"2016";"Zuid-Holland (PV)";1317
"1.4.6 Straatroof";"2017";"Zuid-Holland (PV)";1213
"1.4.6 Straatroof";"2018";"Zuid-Holland (PV)";1084
"1.4.6 Straatroof";"2013";"Zeeland (PV)";58
"1.4.6 Straatroof";"2014";"Zeeland (PV)";45
"1.4.6 Straatroof";"2015";"Zeeland (PV)";31
"1.4.6 Straatroof";"2016";"Zeeland (PV)";33
"1.4.6 Straatroof";"2017";"Zeeland (PV)";38
"1.4.6 Straatroof";"2018";"Zeeland (PV)";30
"1.4.6 Straatroof";"2013";"Noord-Brabant (PV)";689
"1.4.6 Straatroof";"2014";"Noord-Brabant (PV)";531
"1.4.6 Straatroof";"2015";"Noord-Brabant (PV)";436
"1.4.6 Straatroof";"2016";"Noord-Brabant (PV)";324
"1.4.6 Straatroof";"2017";"Noord-Brabant (PV)";290
"1.4.6 Straatroof";"2018";"Noord-Brabant (PV)";278
"1.4.6 Straatroof";"2013";"Limburg (PV)";319
"1.4.6 Straatroof";"2014";"Limburg (PV)";296
"1.4.6 Straatroof";"2015";"Limburg (PV)";210
"1.4.6 Straatroof";"2016";"Limburg (PV)";155
"1.4.6 Straatroof";"2017";"Limburg (PV)";103
"1.4.6 Straatroof";"2018";"Limburg (PV)";119
"2.2.1 Vernieling cq. zaakbeschadiging";"2013";"Nederland";118106
"2.2.1 Vernieling cq. zaakbeschadiging";"2014";"Nederland";110108
"2.2.1 Vernieling cq. zaakbeschadiging";"2015";"Nederland";101890
"2.2.1 Vernieling cq. zaakbeschadiging";"2016";"Nederland";94580
"2.2.1 Vernieling cq. zaakbeschadiging";"2017";"Nederland";81567
"2.2.1 Vernieling cq. zaakbeschadiging";"2018";"Nederland";71987
"2.2.1 Vernieling cq. zaakbeschadiging";"2013";"Groningen (PV)";4332
"2.2.1 Vernieling cq. zaakbeschadiging";"2014";"Groningen (PV)";3838
"2.2.1 Vernieling cq. zaakbeschadiging";"2015";"Groningen (PV)";3444
"2.2.1 Vernieling cq. zaakbeschadiging";"2016";"Groningen (PV)";3353
"2.2.1 Vernieling cq. zaakbeschadiging";"2017";"Groningen (PV)";3381
"2.2.1 Vernieling cq. zaakbeschadiging";"2018";"Groningen (PV)";2775
"2.2.1 Vernieling cq. zaakbeschadiging";"2013";"Friesland (PV)";4377
"2.2.1 Vernieling cq. zaakbeschadiging";"2014";"Friesland (PV)";3944
"2.2.1 Vernieling cq. zaakbeschadiging";"2015";"Friesland (PV)";3657
"2.2.1 Vernieling cq. zaakbeschadiging";"2016";"Friesland (PV)";3199
"2.2.1 Vernieling cq. zaakbeschadiging";"2017";"Friesland (PV)";2939
"2.2.1 Vernieling cq. zaakbeschadiging";"2018";"Friesland (PV)";2689
"2.2.1 Vernieling cq. zaakbeschadiging";"2013";"Drenthe (PV)";3415
"2.2.1 Vernieling cq. zaakbeschadiging";"2014";"Drenthe (PV)";3258
"2.2.1 Vernieling cq. zaakbeschadiging";"2015";"Drenthe (PV)";2705
"2.2.1 Vernieling cq. zaakbeschadiging";"2016";"Drenthe (PV)";2387
"2.2.1 Vernieling cq. zaakbeschadiging";"2017";"Drenthe (PV)";2022
"2.2.1 Vernieling cq. zaakbeschadiging";"2018";"Drenthe (PV)";1826
"2.2.1 Vernieling cq. zaakbeschadiging";"2013";"Overijssel (PV)";7423
"2.2.1 Vernieling cq. zaakbeschadiging";"2014";"Overijssel (PV)";6544
"2.2.1 Vernieling cq. zaakbeschadiging";"2015";"Overijssel (PV)";5833
"2.2.1 Vernieling cq. zaakbeschadiging";"2016";"Overijssel (PV)";5225
"2.2.1 Vernieling cq. zaakbeschadiging";"2017";"Overijssel (PV)";4727
"2.2.1 Vernieling cq. zaakbeschadiging";"2018";"Overijssel (PV)";4262
"2.2.1 Vernieling cq. zaakbeschadiging";"2013";"Flevoland (PV)";2832
"2.2.1 Vernieling cq. zaakbeschadiging";"2014";"Flevoland (PV)";2810
"2.2.1 Vernieling cq. zaakbeschadiging";"2015";"Flevoland (PV)";2362
"2.2.1 Vernieling cq. zaakbeschadiging";"2016";"Flevoland (PV)";2340
"2.2.1 Vernieling cq. zaakbeschadiging";"2017";"Flevoland (PV)";2042
"2.2.1 Vernieling cq. zaakbeschadiging";"2018";"Flevoland (PV)";1852
"2.2.1 Vernieling cq. zaakbeschadiging";"2013";"Gelderland (PV)";12661
"2.2.1 Vernieling cq. zaakbeschadiging";"2014";"Gelderland (PV)";11715
"2.2.1 Vernieling cq. zaakbeschadiging";"2015";"Gelderland (PV)";10756
"2.2.1 Vernieling cq. zaakbeschadiging";"2016";"Gelderland (PV)";10381
"2.2.1 Vernieling cq. zaakbeschadiging";"2017";"Gelderland (PV)";8685
"2.2.1 Vernieling cq. zaakbeschadiging";"2018";"Gelderland (PV)";7418
"2.2.1 Vernieling cq. zaakbeschadiging";"2013";"Utrecht (PV)";7876
"2.2.1 Vernieling cq. zaakbeschadiging";"2014";"Utrecht (PV)";7674
"2.2.1 Vernieling cq. zaakbeschadiging";"2015";"Utrecht (PV)";7787
"2.2.1 Vernieling cq. zaakbeschadiging";"2016";"Utrecht (PV)";6837
"2.2.1 Vernieling cq. zaakbeschadiging";"2017";"Utrecht (PV)";6121
"2.2.1 Vernieling cq. zaakbeschadiging";"2018";"Utrecht (PV)";5403
"2.2.1 Vernieling cq. zaakbeschadiging";"2013";"Noord-Holland (PV)";20071
"2.2.1 Vernieling cq. zaakbeschadiging";"2014";"Noord-Holland (PV)";19400
"2.2.1 Vernieling cq. zaakbeschadiging";"2015";"Noord-Holland (PV)";18027
"2.2.1 Vernieling cq. zaakbeschadiging";"2016";"Noord-Holland (PV)";17011
"2.2.1 Vernieling cq. zaakbeschadiging";"2017";"Noord-Holland (PV)";14780
"2.2.1 Vernieling cq. zaakbeschadiging";"2018";"Noord-Holland (PV)";12886
"2.2.1 Vernieling cq. zaakbeschadiging";"2013";"Zuid-Holland (PV)";26750
"2.2.1 Vernieling cq. zaakbeschadiging";"2014";"Zuid-Holland (PV)";24380
"2.2.1 Vernieling cq. zaakbeschadiging";"2015";"Zuid-Holland (PV)";22843
"2.2.1 Vernieling cq. zaakbeschadiging";"2016";"Zuid-Holland (PV)";21519
"2.2.1 Vernieling cq. zaakbeschadiging";"2017";"Zuid-Holland (PV)";18147
"2.2.1 Vernieling cq. zaakbeschadiging";"2018";"Zuid-Holland (PV)";16308
"2.2.1 Vernieling cq. zaakbeschadiging";"2013";"Zeeland (PV)";2802
"2.2.1 Vernieling cq. zaakbeschadiging";"2014";"Zeeland (PV)";2427
"2.2.1 Vernieling cq. zaakbeschadiging";"2015";"Zeeland (PV)";2632
"2.2.1 Vernieling cq. zaakbeschadiging";"2016";"Zeeland (PV)";2148
"2.2.1 Vernieling cq. zaakbeschadiging";"2017";"Zeeland (PV)";1762
"2.2.1 Vernieling cq. zaakbeschadiging";"2018";"Zeeland (PV)";1463
"2.2.1 Vernieling cq. zaakbeschadiging";"2013";"Noord-Brabant (PV)";16946
"2.2.1 Vernieling cq. zaakbeschadiging";"2014";"Noord-Brabant (PV)";15951
"2.2.1 Vernieling cq. zaakbeschadiging";"2015";"Noord-Brabant (PV)";14657
"2.2.1 Vernieling cq. zaakbeschadiging";"2016";"Noord-Brabant (PV)";13920
"2.2.1 Vernieling cq. zaakbeschadiging";"2017";"Noord-Brabant (PV)";11504
"2.2.1 Vernieling cq. zaakbeschadiging";"2018";"Noord-Brabant (PV)";10284
"2.2.1 Vernieling cq. zaakbeschadiging";"2013";"Limburg (PV)";8620
"2.2.1 Vernieling cq. zaakbeschadiging";"2014";"Limburg (PV)";8166
"2.2.1 Vernieling cq. zaakbeschadiging";"2015";"Limburg (PV)";7185
"2.2.1 Vernieling cq. zaakbeschadiging";"2016";"Limburg (PV)";6260
"2.2.1 Vernieling cq. zaakbeschadiging";"2017";"Limburg (PV)";5457
"2.2.1 Vernieling cq. zaakbeschadiging";"2018";"Limburg (PV)";4820
"2.5.2 Winkeldiefstal";"2013";"Nederland";43097
"2.5.2 Winkeldiefstal";"2014";"Nederland";41811
"2.5.2 Winkeldiefstal";"2015";"Nederland";40200
"2.5.2 Winkeldiefstal";"2016";"Nederland";39081
"2.5.2 Winkeldiefstal";"2017";"Nederland";37587
"2.5.2 Winkeldiefstal";"2018";"Nederland";37492
"2.5.2 Winkeldiefstal";"2013";"Groningen (PV)";1661
"2.5.2 Winkeldiefstal";"2014";"Groningen (PV)";1595
"2.5.2 Winkeldiefstal";"2015";"Groningen (PV)";1733
"2.5.2 Winkeldiefstal";"2016";"Groningen (PV)";1855
"2.5.2 Winkeldiefstal";"2017";"Groningen (PV)";1582
"2.5.2 Winkeldiefstal";"2018";"Groningen (PV)";1540
"2.5.2 Winkeldiefstal";"2013";"Friesland (PV)";1076
"2.5.2 Winkeldiefstal";"2014";"Friesland (PV)";1216
"2.5.2 Winkeldiefstal";"2015";"Friesland (PV)";1166
"2.5.2 Winkeldiefstal";"2016";"Friesland (PV)";1046
"2.5.2 Winkeldiefstal";"2017";"Friesland (PV)";1051
"2.5.2 Winkeldiefstal";"2018";"Friesland (PV)";1062
"2.5.2 Winkeldiefstal";"2013";"Drenthe (PV)";651
"2.5.2 Winkeldiefstal";"2014";"Drenthe (PV)";734
"2.5.2 Winkeldiefstal";"2015";"Drenthe (PV)";711
"2.5.2 Winkeldiefstal";"2016";"Drenthe (PV)";811
"2.5.2 Winkeldiefstal";"2017";"Drenthe (PV)";707
"2.5.2 Winkeldiefstal";"2018";"Drenthe (PV)";521
"2.5.2 Winkeldiefstal";"2013";"Overijssel (PV)";2267
"2.5.2 Winkeldiefstal";"2014";"Overijssel (PV)";2012
"2.5.2 Winkeldiefstal";"2015";"Overijssel (PV)";1930
"2.5.2 Winkeldiefstal";"2016";"Overijssel (PV)";1868
"2.5.2 Winkeldiefstal";"2017";"Overijssel (PV)";1927
"2.5.2 Winkeldiefstal";"2018";"Overijssel (PV)";2106
"2.5.2 Winkeldiefstal";"2013";"Flevoland (PV)";1321
"2.5.2 Winkeldiefstal";"2014";"Flevoland (PV)";1406
"2.5.2 Winkeldiefstal";"2015";"Flevoland (PV)";1231
"2.5.2 Winkeldiefstal";"2016";"Flevoland (PV)";1210
"2.5.2 Winkeldiefstal";"2017";"Flevoland (PV)";1422
"2.5.2 Winkeldiefstal";"2018";"Flevoland (PV)";1200
"2.5.2 Winkeldiefstal";"2013";"Gelderland (PV)";3939
"2.5.2 Winkeldiefstal";"2014";"Gelderland (PV)";4327
"2.5.2 Winkeldiefstal";"2015";"Gelderland (PV)";3980
"2.5.2 Winkeldiefstal";"2016";"Gelderland (PV)";3691
"2.5.2 Winkeldiefstal";"2017";"Gelderland (PV)";3552
"2.5.2 Winkeldiefstal";"2018";"Gelderland (PV)";3539
"2.5.2 Winkeldiefstal";"2013";"Utrecht (PV)";3143
"2.5.2 Winkeldiefstal";"2014";"Utrecht (PV)";2992
"2.5.2 Winkeldiefstal";"2015";"Utrecht (PV)";2718
"2.5.2 Winkeldiefstal";"2016";"Utrecht (PV)";2835
"2.5.2 Winkeldiefstal";"2017";"Utrecht (PV)";2818
"2.5.2 Winkeldiefstal";"2018";"Utrecht (PV)";2828
"2.5.2 Winkeldiefstal";"2013";"Noord-Holland (PV)";9296
"2.5.2 Winkeldiefstal";"2014";"Noord-Holland (PV)";9099
"2.5.2 Winkeldiefstal";"2015";"Noord-Holland (PV)";8414
"2.5.2 Winkeldiefstal";"2016";"Noord-Holland (PV)";8400
"2.5.2 Winkeldiefstal";"2017";"Noord-Holland (PV)";8031
"2.5.2 Winkeldiefstal";"2018";"Noord-Holland (PV)";8194
"2.5.2 Winkeldiefstal";"2013";"Zuid-Holland (PV)";10991
"2.5.2 Winkeldiefstal";"2014";"Zuid-Holland (PV)";10441
"2.5.2 Winkeldiefstal";"2015";"Zuid-Holland (PV)";10516
"2.5.2 Winkeldiefstal";"2016";"Zuid-Holland (PV)";9676
"2.5.2 Winkeldiefstal";"2017";"Zuid-Holland (PV)";9216
"2.5.2 Winkeldiefstal";"2018";"Zuid-Holland (PV)";8680
"2.5.2 Winkeldiefstal";"2013";"Zeeland (PV)";696
"2.5.2 Winkeldiefstal";"2014";"Zeeland (PV)";648
"2.5.2 Winkeldiefstal";"2015";"Zeeland (PV)";573
"2.5.2 Winkeldiefstal";"2016";"Zeeland (PV)";611
"2.5.2 Winkeldiefstal";"2017";"Zeeland (PV)";552
"2.5.2 Winkeldiefstal";"2018";"Zeeland (PV)";501
"2.5.2 Winkeldiefstal";"2013";"Noord-Brabant (PV)";5656
"2.5.2 Winkeldiefstal";"2014";"Noord-Brabant (PV)";5124
"2.5.2 Winkeldiefstal";"2015";"Noord-Brabant (PV)";4714
"2.5.2 Winkeldiefstal";"2016";"Noord-Brabant (PV)";4694
"2.5.2 Winkeldiefstal";"2017";"Noord-Brabant (PV)";4518
"2.5.2 Winkeldiefstal";"2018";"Noord-Brabant (PV)";5012
"2.5.2 Winkeldiefstal";"2013";"Limburg (PV)";2400
"2.5.2 Winkeldiefstal";"2014";"Limburg (PV)";2217
"2.5.2 Winkeldiefstal";"2015";"Limburg (PV)";2514
"2.5.2 Winkeldiefstal";"2016";"Limburg (PV)";2384
"2.5.2 Winkeldiefstal";"2017";"Limburg (PV)";2211
"2.5.2 Winkeldiefstal";"2018";"Limburg (PV)";2309
